,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
42,Elizabeth City,1,US,1562094061,43,36.3,-76.22,93.99,9.17
43,Coquimbo,0,CL,1562094056,67,-29.95,-71.34,57.2,11.41
44,Gat,0,SN,1562094349,69,14.69,-16.54,82.4,13.87
45,Cape Town,75,ZA,1562094146,93,-33.93,18.42,57.99,18.34
46,Thinadhoo,100,MV,1562094350,72,0.53,72.93,83.99,9.84
47,Beloha,12,MG,1562094350,70,-25.17,45.06,72.65,3.53
48,Ambon,0,FR,1562094350,60,47.55,-2.56,77.0,14.99
49,Albany,75,US,1562094269,60,42.65,-73.75,82.0,6.93
50,Carnarvon,0,ZA,1562094351,47,-30.97,22.13,45.65,7.43
51,Inhambane,20,MZ,1562094351,72,-23.87,35.38,68.0,2.24
52,Chicama,90,PE,1562094351,77,-7.84,-79.15,66.2,11.41
53,Flin Flon,90,CA,1562094352,67,54.77,-101.88,57.2,16.11
54,Te Anau,88,NZ,1562094352,87,-45.41,167.72,50.87,4.34
55,Butaritari,83,KI,1562094352,73,3.07,172.79,84.17,7.83
56,Barrow,48,AR,1562094353,45,-38.31,-60.23,49.07,24.07
57,Sibolga,88,ID,1562094353,73,1.74,98.78,82.73,3.31
58,Noumea,90,NC,1562094353,93,-22.28,166.46,64.4,3.36
59,New Norfolk,20,AU,1562094353,86,-42.78,147.06,42.01,5.82
60,Hobart,20,AU,1562094353,86,-42.88,147.33,42.01,5.82
61,Castro,75,CL,1562094354,75,-42.48,-73.76,46.4,8.05
62,Wuwei,53,CN,1562094354,50,37.93,102.64,67.25,0.96
63,Joshimath,49,IN,1562094354,76,30.57,79.57,57.71,3.65
64,Upata,94,VE,1562094354,43,8.02,-62.41,89.57,6.08
65,Khatanga,79,RU,1562094272,47,71.98,102.47,54.83,7.05
66,Zholymbet,100,KZ,1562094355,92,51.74,71.71,61.31,8.21
67,Fortuna,40,US,1562094355,63,40.6,-124.16,73.0,14.99
68,Paldiski,40,EE,1562094355,93,59.35,24.08,62.01,11.41
69,Arraial do Cabo,0,BR,1562094356,78,-22.97,-42.02,78.8,6.93
70,Boyolangu,20,ID,1562094356,95,-8.09,111.9,67.25,3.31
71,Saldanha,0,PT,1562094356,24,41.42,-6.55,87.77,5.91
72,Henties Bay,0,NA,1562094357,83,-22.12,14.28,57.0,17.29
73,Portel,66,BR,1562094357,49,-1.94,-50.82,90.83,3.0
74,Muros,40,ES,1562094357,82,42.77,-9.06,79.0,11.41
75,Ajdabiya,0,LY,1562094357,76,30.75,20.22,76.25,22.01
76,Norman Wells,90,CA,1562094358,82,65.28,-126.83,57.2,17.22
77,Lavrentiya,100,RU,1562094358,96,65.58,-170.99,43.13,4.81
78,Berlevag,75,NO,1562094358,93,70.86,29.09,48.2,14.99
79,Hami,15,CN,1562094358,18,42.84,93.51,88.49,8.34
80,Ancud,75,CL,1562094359,75,-41.87,-73.83,46.4,8.05
81,Hermanus,100,ZA,1562094359,75,-34.42,19.24,64.0,11.01
82,Alice Springs,0,AU,1562094359,48,-23.7,133.88,42.8,5.82
83,Trairi,85,BR,1562094135,46,-3.28,-39.27,87.05,7.72
84,Makinsk,100,KZ,1562094360,94,52.63,70.42,60.41,13.15
85,Tiksi,100,RU,1562094134,94,71.64,128.87,35.57,12.33
86,Bulgan,100,MN,1562094360,80,48.81,103.53,56.27,0.92
87,Sidmouth,20,GB,1562094361,48,50.68,-3.24,69.01,9.17
88,Santa Isabel do Rio Negro,63,BR,1562094361,88,-0.41,-65.02,81.29,3.2
89,Kahului,20,US,1562094362,65,20.89,-156.47,82.4,3.36
90,Hailar,43,CN,1562094362,55,49.2,119.7,59.87,2.89
91,Guerrero Negro,0,MX,1562094362,82,27.97,-114.04,67.61,10.4
92,Avera,1,US,1562094363,35,33.19,-82.53,100.0,5.82
93,Gao,0,ML,1562094363,9,16.28,-0.04,108.11,8.7
94,Ulvik,75,NO,1562094363,93,60.57,6.92,46.0,33.33
95,Chokurdakh,100,RU,1562094363,79,70.62,147.9,41.51,7.16
96,Wajir,0,KE,1562094363,35,1.75,40.07,87.8,3.36
97,Caravelas,40,BR,1562094139,82,-17.73,-39.27,77.15,9.42
98,Georgetown,75,GY,1562094293,62,6.8,-58.16,87.8,16.11
99,Sault Sainte Marie,1,CA,1562094364,44,46.49,-84.36,80.6,6.93
100,Aksay,33,KZ,1562094364,74,51.17,53.01,62.75,8.46
101,Pisco,20,PE,1562094245,30,-13.71,-76.2,71.6,18.34
102,Clyde River,90,CA,1562094365,93,70.47,-68.59,35.6,24.16
103,Ust-Kuyga,100,RU,1562094365,91,70.0,135.55,38.27,6.73
104,Victoria,75,BN,1562094365,83,5.28,115.24,82.4,4.41
105,Airai,5,TL,1562094270,82,-8.93,125.41,70.31,4.43
106,Sao Felix do Xingu,0,BR,1562094340,39,-6.64,-51.99,90.83,4.94
107,Tarabuco,0,BO,1562094366,18,-19.18,-64.92,71.6,11.41
108,Kindu,0,CD,1562094366,46,-2.95,25.92,77.15,1.05
109,Severo-Yeniseyskiy,69,RU,1562094366,50,60.37,93.04,73.73,5.44
110,Aykhal,75,RU,1562094367,75,65.95,111.51,42.8,8.95
111,Los Llanos de Aridane,40,ES,1562094367,69,28.66,-17.92,73.4,18.34
112,Shitkino,53,RU,1562094367,94,56.37,98.35,56.81,3.67
113,San-Pedro,73,CI,1562094367,85,4.75,-6.64,76.43,6.02
114,Itoman,75,JP,1562094368,94,26.12,127.67,82.4,16.11
115,La Tuque,11,CA,1562094368,35,47.44,-72.79,79.31,11.03
116,Bonthe,66,SL,1562094368,85,7.53,-12.5,80.03,10.36
117,Qasigiannguit,75,GL,1562094368,30,68.82,-51.19,55.4,12.75
118,Isangel,0,VU,1562094368,65,-19.55,169.27,73.01,5.64
119,Mahebourg,40,MU,1562094369,68,-20.41,57.7,71.6,11.41
120,Tautira,75,PF,1562094369,83,-17.73,-149.15,75.2,4.7
121,Haines Junction,99,CA,1562094369,66,60.75,-137.51,63.47,4.45
122,Tateyama,98,JP,1562094370,84,36.66,137.31,71.01,1.14
123,Ribeira Grande,40,PT,1562094370,88,38.52,-28.7,71.6,9.17
124,Laguna,40,BZ,1562094370,59,16.17,-88.94,91.4,6.93
125,Moindou,90,NC,1562094370,93,-21.69,165.68,64.4,3.36
126,Vestmannaeyjar,75,IS,1562094371,76,63.44,-20.27,51.8,10.29
127,Coahuayana,26,MX,1562094371,61,18.62,-100.35,87.59,2.15
128,Bethel,90,US,1562094250,87,60.79,-161.76,55.4,19.46
129,Kapaa,40,US,1562094371,74,22.08,-159.32,82.4,9.17
130,Quatre Cocos,40,MU,1562094371,68,-20.21,57.76,71.6,11.41
131,Bogorodskoye,91,RU,1562094373,90,52.37,140.44,47.27,4.0
132,Sokur,0,RU,1562094373,82,55.21,83.32,62.6,4.47
133,Hirara,100,JP,1562094373,82,24.8,125.28,83.81,25.95
134,Fairbanks,40,US,1562094373,63,64.84,-147.72,64.99,1.92
135,Jamestown,0,AU,1562094374,88,-33.21,138.6,46.01,4.14
136,Mahibadhoo,100,MV,1562094374,63,3.78,72.97,83.81,4.79
137,Chuy,98,UY,1562094374,64,-33.69,-53.46,56.09,13.67
138,Tainan,75,TW,1562094331,94,22.99,120.21,84.2,6.93
139,Tasiilaq,100,GL,1562094375,87,65.61,-37.64,38.45,17.74
140,Atuona,6,PF,1562094357,77,-9.8,-139.03,79.85,12.46
141,Takoradi,65,GH,1562094375,84,4.89,-1.75,78.41,7.49
142,Port Elizabeth,1,US,1562094110,43,39.31,-74.98,93.0,10.29
143,Esperance,90,AU,1562094375,71,-33.86,121.89,51.8,8.05
144,Provideniya,100,RU,1562094375,97,64.42,-173.23,43.67,3.62
145,Namibe,0,AO,1562094376,77,-15.19,12.15,71.03,4.38
146,Amparafaravola,10,MG,1562094376,94,-17.68,48.22,55.19,5.06
147,Rock Springs,40,US,1562094376,16,41.59,-109.2,78.8,14.99
148,Severo-Kurilsk,100,RU,1562094376,95,50.68,156.12,42.23,6.67
149,Marawi,100,PH,1562094377,91,8.0,124.29,73.99,4.0
150,Sao Joao da Barra,0,BR,1562094377,54,-21.64,-41.05,84.2,11.41
151,Uray,0,RU,1562094377,58,60.13,64.8,68.33,9.57
152,Saint Anthony,1,US,1562094377,31,43.97,-111.68,78.8,5.82
153,Klaksvik,63,FO,1562094378,76,62.23,-6.59,48.2,13.87
154,Matay,0,EG,1562094378,19,28.42,30.79,90.11,11.92
155,Nanortalik,100,GL,1562094362,97,60.14,-45.24,35.75,5.46
156,San Quintin,100,PH,1562094368,86,17.54,120.52,76.43,5.7
157,Kavieng,2,PG,1562094378,78,-2.57,150.8,82.55,12.95
158,Pemberton,34,AU,1562094379,96,-34.44,116.03,42.01,2.28
159,Gornopravdinsk,0,RU,1562094379,66,60.06,69.92,67.07,7.14
160,Pasir Gudang,75,MY,1562094379,79,1.46,103.88,84.2,8.05
161,Kargasok,20,RU,1562094379,74,59.06,80.87,69.41,5.14
162,Felipe Carrillo Puerto,31,MX,1562094279,34,19.58,-88.05,98.03,6.42
163,Luderitz,0,NA,1562094380,59,-26.65,15.16,60.8,18.34
164,Palana,100,RU,1562094380,94,59.08,159.95,47.09,13.2
165,Pingliang,46,CN,1562094380,64,35.54,106.68,57.71,3.13
166,Santiago del Estero,0,AR,1562094380,50,-27.8,-64.26,64.01,5.17
167,Qaanaaq,0,GL,1562094380,43,77.48,-69.36,49.61,2.64
168,Dingle,100,PH,1562094381,86,11.0,122.67,74.45,1.63
169,Alta Floresta,40,BR,1562094381,43,-9.87,-56.08,87.8,5.82
170,Narsaq,75,GL,1562094381,66,60.91,-46.05,50.0,10.29
171,Saint-Pierre,0,FR,1562094381,43,48.95,4.24,77.0,14.99
172,Nara,92,JP,1562094382,100,34.68,135.8,73.99,1.12
173,Cabedelo,40,BR,1562094356,74,-6.97,-34.84,80.6,9.17
174,Ponta do Sol,12,BR,1562094382,37,-20.63,-46.0,77.69,3.6
175,Kursavka,0,RU,1562094382,46,44.46,42.51,75.0,2.24
176,Listvyanka,40,RU,1562094382,93,51.86,104.86,62.6,4.47
177,Teguldet,78,RU,1562094383,53,57.31,88.17,72.47,9.28
178,Coihaique,75,CL,1562094382,97,-45.58,-72.07,44.6,3.36
179,Cartaya,0,ES,1562094384,29,37.28,-7.16,84.17,11.27
180,Iqaluit,20,CA,1562094384,53,63.75,-68.52,50.0,6.93
181,Okhotsk,100,RU,1562094384,90,59.36,143.24,47.99,12.53
182,Dongli,20,CN,1562094385,83,24.18,117.61,80.6,6.71
183,Maceio,40,BR,1562094385,61,-9.67,-35.74,80.6,12.75
184,Conde,1,BR,1562094385,59,-11.81,-37.61,81.83,7.47
185,Serenje,13,ZM,1562094385,65,-13.23,30.22,58.25,4.56
186,Massaguet,0,TD,1562094386,46,12.48,15.44,91.4,5.82
187,Visby,40,SE,1562094386,87,57.64,18.3,54.0,13.87
188,Geraldton,75,CA,1562094386,32,49.72,-86.95,82.4,11.41
189,Havoysund,75,NO,1562094387,81,71.0,24.66,48.2,10.29
190,Kiama,0,AU,1562094387,61,-34.67,150.86,57.99,9.17
191,Manicore,20,BR,1562094387,49,-5.81,-61.3,93.2,4.7
192,Yenagoa,100,NG,1562094387,88,4.92,6.26,78.05,6.87
193,Felanitx,0,ES,1562094388,39,39.47,3.15,87.01,4.7
194,Medvedka,69,RU,1562094388,92,61.17,46.39,55.91,2.75
195,Dikson,100,RU,1562094365,100,73.51,80.55,38.81,7.02
196,Nuuk,75,GL,1562094388,61,64.17,-51.74,48.2,8.05
197,Tuktoyaktuk,75,CA,1562094388,81,69.44,-133.03,48.2,17.22
198,Nagaur,65,IN,1562094389,41,27.2,73.74,93.17,20.18
199,Lebu,75,ET,1562094389,82,8.96,38.73,60.8,4.7
200,Pevek,71,RU,1562094352,94,69.7,170.27,35.39,11.59
201,Fenoarivo Atsinanana,34,MG,1562094389,98,-17.38,49.41,62.39,0.63
202,Novikovo,54,RU,1562094390,80,51.15,37.89,63.65,4.99
203,Cayenne,100,GF,1562094390,88,4.94,-52.33,78.8,9.17
204,Machilipatnam,90,IN,1562094186,74,16.18,81.14,84.2,3.36
205,Porto Tolle,0,IT,1562094390,62,44.95,12.32,90.0,4.7
206,Touros,75,BR,1562094391,74,-5.2,-35.46,80.6,8.05
207,Kintampo,59,GH,1562094391,82,8.05,-1.73,80.93,5.06
208,Campoverde,75,EC,1562094391,63,-0.91,-78.62,64.4,4.7
209,Moose Factory,40,CA,1562094391,41,51.26,-80.61,78.8,8.05
210,Broome,20,GB,1562094193,72,52.47,1.45,66.0,4.7
211,Varhaug,75,NO,1562094392,62,58.61,5.65,53.6,16.11
212,Jaciara,0,BR,1562094392,25,-15.95,-54.98,90.47,9.19
213,Kifri,0,IQ,1562094392,18,34.69,44.96,90.65,11.59
214,Naliya,5,IN,1562094392,78,23.26,68.83,84.17,13.91
215,Sobolevo,7,RU,1562094393,87,54.43,31.9,60.05,8.01
216,Caraguatay,90,PY,1562094393,88,-25.24,-56.83,62.6,5.82
217,Homa Bay,40,KE,1562094393,73,-0.53,34.45,71.6,4.85
218,Mookane,0,BW,1562094393,25,-23.68,26.66,52.13,2.91
219,Igarka,59,RU,1562094394,50,67.47,86.57,62.03,7.05
220,Mount Gambier,23,AU,1562094394,76,-37.83,140.78,55.01,5.12
221,Kollegal,100,IN,1562094394,74,12.16,77.11,73.73,12.57
222,Leh,0,IN,1562094394,46,34.16,77.58,35.21,5.5
223,Yaan,43,NG,1562094396,82,7.38,8.57,81.11,4.72
224,Masuguru,32,MZ,1562094396,57,-11.38,38.46,75.35,3.56
225,Madimba,75,CM,1562094396,100,4.42,9.93,77.0,3.36
226,Souillac,100,FR,1562094396,54,45.6,-0.6,78.8,6.93
227,Bako,60,BF,1562094397,23,12.29,-0.73,102.71,1.48
228,Halifax,90,CA,1562094397,77,44.65,-63.58,66.99,11.41
229,Port Hedland,26,AU,1562094397,58,-20.31,118.58,57.2,6.93
230,Botwood,90,CA,1562094397,100,49.14,-55.34,53.6,5.82
231,Torbay,75,CA,1562094398,73,47.66,-52.73,73.4,19.46
232,Mareeba,20,AU,1562094398,82,-16.99,145.42,62.6,8.05
233,Wahiawa,20,US,1562094398,78,21.5,-158.02,82.99,10.29
234,Eyl,32,SO,1562094398,48,7.98,49.82,85.25,20.42
235,Nikolskoye,75,RU,1562094399,77,59.7,30.79,63.0,4.47
236,Kargopol,91,RU,1562094399,94,61.51,38.95,57.71,1.41
237,Katsuura,75,JP,1562094399,88,33.93,134.5,73.4,1.12
238,Bageshwar,55,IN,1562094399,68,29.85,79.77,68.69,2.75
239,Aviles,75,ES,1562094151,93,43.55,-5.92,64.99,5.82
240,Gravdal,75,NO,1562094400,76,59.79,5.78,51.01,11.41
241,Hualmay,72,PE,1562094400,89,-11.1,-77.61,63.11,15.75
242,Umm Lajj,0,SA,1562094400,67,25.02,37.27,86.33,12.91
243,Itarema,39,BR,1562094400,60,-2.92,-39.92,85.07,11.9
244,Ardakan,0,IR,1562094401,25,32.31,54.02,89.6,6.93
245,Whitianga,79,NZ,1562094401,96,-36.83,175.7,60.01,5.01
246,Avarua,25,CK,1562094107,64,-21.21,-159.78,69.8,18.34
247,Floriano,62,BR,1562094401,41,-6.77,-43.02,88.67,6.93
248,Longyearbyen,75,NO,1562094401,75,78.22,15.63,46.4,14.99
249,Skagen,83,SE,1562094402,71,58.6,13.44,55.4,6.93
250,Pasighat,94,IN,1562094402,90,28.06,95.33,72.11,2.98
251,Lasa,0,CY,1562094402,57,34.92,32.53,80.6,5.82
252,Lydenburg,0,ZA,1562094403,74,-25.1,30.46,48.99,4.0
253,Nivala,95,FI,1562094403,67,63.93,24.96,55.0,7.0
254,Bundaberg,14,AU,1562094403,87,-24.87,152.35,57.2,5.82
255,Saint George,0,GR,1562094403,42,39.45,22.34,84.99,5.82
256,Santa Rosa,63,AR,1562094404,26,-36.62,-64.29,55.73,28.72
257,Nioro,43,GM,1562094404,36,13.79,-15.05,98.03,3.58
258,Benguela,75,AO,1562094404,88,-12.58,13.4,69.8,2.17
259,Mehamn,75,NO,1562094404,87,71.03,27.85,48.2,4.7
260,Marsh Harbour,37,BS,1562094405,63,26.54,-77.06,85.07,1.43
261,Awbari,0,LY,1562094405,15,26.59,12.77,92.45,10.25
262,Nome,40,US,1562094405,88,30.04,-94.42,88.0,3.36
263,Gabi,100,PH,1562094405,69,7.61,126.06,75.99,2.46
264,Ilulissat,75,GL,1562094406,30,69.22,-51.1,55.4,12.75
265,Victoria Point,20,AU,1562094406,100,-27.58,153.3,59.0,9.17
266,Scarborough,51,GB,1562094406,67,54.28,-0.41,66.2,6.93
267,Simao,29,CN,1562094406,97,22.76,100.79,67.07,1.86
268,Mar del Plata,91,AR,1562094408,68,-46.43,-67.52,38.81,17.27
269,Porto Velho,40,BR,1562094317,49,-8.75,-63.87,91.4,4.7
270,Kiunga,89,PG,1562094408,99,-6.12,141.3,69.59,1.99
271,Vrede,0,ZA,1562094408,54,-27.43,29.16,37.01,3.85
272,Ust-Nera,94,RU,1562094408,91,64.57,143.24,47.09,5.17
273,Faanui,97,PF,1562094409,80,-16.48,-151.75,77.87,31.29
274,Pacific Grove,20,US,1562094409,67,36.62,-121.92,80.01,12.75
275,Praia da Vitoria,90,PT,1562094306,88,38.73,-27.07,75.0,9.95
276,Kon Tum,100,VN,1562094409,99,14.36,108.0,67.25,2.39
277,Constitucion,20,MX,1562094409,27,23.99,-104.67,78.01,6.93
278,Puerto Rico,98,CO,1562094410,97,1.91,-75.15,58.61,2.15
279,Luganville,20,VU,1562094410,94,-15.51,167.18,69.8,3.36
280,Bonnyville,90,CA,1562094410,62,54.27,-110.74,57.2,12.75
281,Pangnirtung,75,CA,1562094410,48,66.15,-65.72,60.8,19.46
282,Alekseyevka,0,RU,1562094411,52,53.25,50.49,69.8,3.42
283,Honiara,40,SB,1562094411,94,-9.43,159.96,75.2,6.49
284,Olinda,90,AU,1562094411,87,-37.84,145.39,51.01,2.24
285,Biak,100,ID,1562094411,98,-0.91,122.88,62.57,2.82
286,Nkowakowa,0,ZA,1562094412,51,-23.89,30.29,39.2,10.29
287,Axim,41,GH,1562094412,87,4.87,-2.24,78.41,9.91
288,East London,0,ZA,1562094412,32,-33.02,27.91,66.2,6.93
289,Rocha,100,UY,1562094412,66,-34.48,-54.34,54.29,16.6
290,Hunchun,50,CN,1562094413,98,42.86,130.36,58.25,2.62
291,Northam,4,AU,1562094413,93,-31.65,116.67,50.0,3.36
292,Leninsk,0,RU,1562094413,50,48.69,45.2,78.8,4.47
293,Kondinskoye,2,RU,1562094414,69,59.65,67.41,64.91,7.56
294,Almansa,20,ES,1562094414,37,38.87,-1.1,84.2,10.29
295,Yakeshi,48,CN,1562094414,57,49.28,120.73,57.71,3.36
296,Cairns,0,AU,1562094239,87,-16.92,145.77,60.8,5.82
297,Jalu,0,LY,1562094415,20,29.03,21.55,88.67,9.6
298,Petropavlovsk-Kamchatskiy,90,RU,1562094415,100,53.05,158.65,46.4,2.24
299,Pochutla,75,MX,1562094415,55,15.74,-96.47,91.99,4.25
300,Paralimni,0,GR,1562094415,52,40.99,23.67,84.0,2.91
301,Kimbe,17,PG,1562094415,93,-5.56,150.15,70.31,3.09
302,Makat,27,KZ,1562094416,61,47.65,53.35,74.63,15.37
303,Salalah,75,OM,1562094416,94,17.01,54.1,82.4,10.29
304,Ansbach,1,DE,1562094221,35,49.3,10.57,73.99,5.82
305,Rawson,37,AR,1562094416,62,-43.3,-65.11,40.79,29.84
306,Ranong,75,TH,1562094416,83,9.96,98.62,84.2,5.82
307,Talnakh,0,RU,1562094417,48,69.49,88.39,62.6,4.47
308,Hervey Bay,17,AU,1562094417,87,-25.3,152.85,57.2,5.82
309,Bathsheba,40,BB,1562094417,62,13.22,-59.52,87.8,18.34
310,Tura,37,RU,1562094417,59,64.27,100.22,55.73,4.76
311,Lata,21,IN,1562094418,82,30.78,78.62,40.43,2.33
312,Gritsovskiy,0,RU,1562094418,87,54.14,38.16,59.51,8.79
313,Kajiado,0,KE,1562094418,56,-1.85,36.79,69.8,5.82
314,Banting,75,MY,1562094420,88,2.82,101.5,80.6,2.24
315,Bujaru,40,BR,1562094420,66,-1.52,-48.04,87.8,4.7
316,Qeshm,0,IR,1562094420,79,26.96,56.27,91.4,11.41
317,Cabo San Lucas,5,MX,1562094178,65,22.89,-109.91,95.0,8.05
318,Santa Luzia,0,BR,1562094420,33,-19.77,-43.85,80.6,6.93
319,Kudahuvadhoo,100,MV,1562094421,64,2.67,72.89,83.81,4.72
320,Comodoro Rivadavia,40,AR,1562094421,75,-45.87,-67.48,42.8,12.75
321,Bemidji,1,US,1562094421,45,47.48,-94.89,84.99,4.7
322,Salo,0,FI,1562094421,50,60.38,23.13,57.99,10.29
323,Kavaratti,97,IN,1562094422,77,10.57,72.64,83.81,16.69
324,Jacareacanga,0,BR,1562094422,31,-6.22,-57.76,93.71,3.91
325,Nouadhibou,0,MR,1562094422,69,20.93,-17.03,73.4,18.34
326,Saskylakh,9,RU,1562094422,76,71.97,114.09,41.87,4.43
327,Miandrivazo,0,MG,1562094422,91,-19.53,45.46,70.67,2.53
328,Tehuacan,77,MX,1562094423,56,18.45,-97.38,75.0,5.01
329,Kaitangata,100,NZ,1562094423,72,-46.28,169.85,51.01,4.0
330,Cervo,20,BR,1562094423,49,-22.19,-46.24,71.6,9.22
331,Kisangani,47,CD,1562094424,61,0.52,25.21,79.13,1.5
332,Buin,40,CL,1562094424,39,-33.73,-70.74,60.8,4.7
333,Kailua,20,US,1562094424,78,21.39,-157.74,82.99,10.29
334,Cidreira,0,BR,1562094424,51,-30.17,-50.22,61.31,6.4
335,Xichang,85,CN,1562094424,94,27.88,102.25,60.41,2.04
336,Blackwater,68,GB,1562094425,52,51.33,-0.78,70.0,10.29
337,Teahupoo,75,PF,1562094425,83,-17.83,-149.27,75.2,4.7
338,Mizdah,2,LY,1562094425,39,31.45,12.98,84.35,30.85
339,Ambilobe,14,MG,1562094425,73,-13.19,49.05,71.93,5.79
340,Denpasar,40,ID,1562094426,88,-8.65,115.22,78.8,12.75
341,Hofn,49,IS,1562094426,78,64.25,-15.21,42.23,10.11
342,Hambantota,0,LK,1562094426,100,6.12,81.12,80.6,8.05
343,Bucerias,5,MX,1562094426,45,20.76,-105.33,90.0,13.87
344,Lichinga,1,MZ,1562094426,63,-13.3,35.25,69.05,4.74
345,Mubi,100,NG,1562094427,88,10.27,13.26,76.25,5.17
346,Neuquen,0,AR,1562094427,47,-38.95,-68.06,55.4,25.28
347,Okato,100,NZ,1562094427,88,-39.19,173.88,59.0,5.01
348,Rozivka,5,UA,1562094428,60,47.51,38.15,76.43,12.37
349,San Vicente,40,EC,1562094428,69,-0.59,-80.41,80.6,8.05
350,Abong Mbang,92,CM,1562094428,74,3.98,13.18,73.37,1.12
351,Opuwo,0,NA,1562094428,21,-18.06,13.84,62.21,8.66
352,Moose Jaw,75,CA,1562094260,55,50.4,-105.54,62.01,10.29
353,Poum,0,MK,1562094429,56,41.28,20.71,71.6,2.19
354,Norilsk,0,RU,1562094429,48,69.35,88.2,62.6,4.47
355,Panama City,1,US,1562094429,66,30.16,-85.65,93.99,13.87
356,Morgan City,90,US,1562094430,88,29.7,-91.21,86.0,8.05
357,Esna,5,RO,1562094430,74,45.2,27.57,78.8,4.7
358,Kawalu,97,ID,1562094430,89,-7.38,108.21,67.43,2.19
359,Sao Filipe,71,CV,1562094431,81,14.9,-24.5,73.55,18.45
360,Piranshahr,0,IR,1562094432,45,36.7,45.14,54.29,6.02
361,Darnah,0,LY,1562094432,74,32.77,22.64,76.79,10.83
362,Vardo,20,US,1562094432,46,39.62,-77.74,95.0,6.93
363,Mackenzie,1,CA,1562094432,48,55.34,-123.09,66.2,2.24
364,Bismarck,40,US,1562094305,58,46.81,-100.78,86.0,8.05
365,Walvis Bay,0,NA,1562094433,25,-22.95,14.51,75.2,6.93
366,Mobaye,13,CF,1562094433,92,4.33,21.18,74.27,2.91
367,Auki,50,NG,1562094434,51,12.18,6.51,89.03,8.63
368,Beibei,0,CN,1562094309,65,29.83,106.43,82.4,6.71
369,Half Moon Bay,20,US,1562094223,82,37.46,-122.43,73.99,12.75
370,Santa Cruz de la Palma,40,ES,1562094434,69,28.68,-17.76,73.4,18.34
371,Farmington Hills,75,US,1562094434,51,42.49,-83.38,91.0,10.29
372,Sistranda,40,NO,1562094435,81,63.73,8.83,48.0,17.22
373,Athabasca,71,CA,1562094435,60,54.72,-113.29,57.17,14.74
